Samples	guidi_all_kmeans_3	guidi_all_kmeans_4	guidi_all_kmeans_5	guidi_all_kmeans_6	guidi_all_kmeans_7	guidi_all_kmeans_8	clr_guidi_all_kmeans_3	clr_guidi_all_kmeans_4	clr_guidi_all_kmeans_5	clr_guidi_all_kmeans_6	clr_guidi_all_kmeans_7	clr_guidi_all_kmeans_8	M0_all_kmeans_3	M0_all_kmeans_4	M0_all_kmeans_5	M0_all_kmeans_6	M0_all_kmeans_7	M0_all_kmeans_8	clr_M0_all_kmeans_3	clr_M0_all_kmeans_4	clr_M0_all_kmeans_5	clr_M0_all_kmeans_6	clr_M0_all_kmeans_7	clr_M0_all_kmeans_8	M1_all_kmeans_3	M1_all_kmeans_4	M1_all_kmeans_5	M1_all_kmeans_6	M1_all_kmeans_7	M1_all_kmeans_8	clr_M1_all_kmeans_3	clr_M1_all_kmeans_4	clr_M1_all_kmeans_5	clr_M1_all_kmeans_6	clr_M1_all_kmeans_7	clr_M1_all_kmeans_8	salazar_all_kmeans_3	salazar_all_kmeans_4	salazar_all_kmeans_5	salazar_all_kmeans_6	salazar_all_kmeans_7	salazar_all_kmeans_8	clr_salazar_all_kmeans_3	clr_salazar_all_kmeans_4	clr_salazar_all_kmeans_5	clr_salazar_all_kmeans_6	clr_salazar_all_kmeans_7	clr_salazar_all_kmeans_8	stress_all_kmeans_3	stress_all_kmeans_4	stress_all_kmeans_5	stress_all_kmeans_6	stress_all_kmeans_7	stress_all_kmeans_8	clr_stress_all_kmeans_3	clr_stress_all_kmeans_4	clr_stress_all_kmeans_5	clr_stress_all_kmeans_6	clr_stress_all_kmeans_7	clr_stress_all_kmeans_8
S24_Z07	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	0	2	1	3	4	1	2	1	0	1	6	5	1	3	0	4	3	7
S24_Z09	0	1	2	3	0	5	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	2	3	3	2	3	0	3	0	4	0	3	3	0	6	2	0	2	0	1	0	5	2	1	0	4	2	2	2	1	2	5	6	5
S25_Z00	0	3	0	4	2	0	1	2	1	4	3	7	0	0	4	1	5	4	0	1	0	3	2	7	0	2	0	2	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	1	6	5	1	2	1	2	5	3
S25_Z01	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	3	2	7	1	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	2	2	1	6	5	1	2	1	2	5	3
S25_Z03	1	3	0	1	4	0	2	1	0	0	1	1	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	5	5	0	3	3	0	0	2	0	2	1	3	1	1	1	2	2	3	1	1	1	3	0	4	3	7
S25_Z05	0	3	2	1	0	5	2	1	0	0	1	1	0	0	4	1	0	3	1	2	1	0	3	2	0	0	4	2	0	3	2	2	2	2	5	5	0	3	3	0	6	2	0	2	1	3	1	1	2	2	2	1	6	5	0	3	0	4	3	3
S25_Z07	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	0	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	2	0	3	4	4	4	2	2	2	1	6	5	1	2	1	2	2	3
S25_Z09	0	1	2	3	6	2	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	2	3	0	3	0	4	0	1	1	3	6	2	0	2	3	3	4	3	2	1	0	4	2	2	0	3	3	5	6	5
S26_Z00	0	1	2	3	6	2	1	2	1	4	3	7	0	2	0	4	3	0	0	1	0	3	2	7	0	2	0	0	3	0	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	4	2	2	1	2	1	0	2	2
S26_Z01	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	3	2	7	1	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	1	2	2	3	1	1	1	2	1	2	2	3
S26_Z03	1	2	3	2	4	4	2	1	0	0	5	7	2	1	1	5	4	2	1	2	1	0	3	2	1	1	1	1	2	2	2	2	2	2	1	5	2	3	3	0	0	1	1	1	2	5	3	2	1	0	3	3	1	3	1	2	1	0	5	2
S26_Z05	1	3	0	1	4	0	2	1	0	0	1	1	2	0	4	1	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	0	5	2	3	3	0	0	1	0	2	1	3	1	1	1	2	2	3	1	1	1	3	0	4	3	7
S26_Z07	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	0	2	1	1	1	3	2	2	2	1	6	5	0	1	4	5	0	5
S26_Z09	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	0	3	3	0	6	2	2	0	3	1	4	3	2	1	0	1	6	5	0	1	4	5	6	5
S27_Z00	1	2	3	5	1	1	1	2	4	2	2	2	2	1	1	0	1	1	0	1	4	1	4	1	1	1	1	1	1	2	0	1	1	5	2	2	0	1	4	2	2	5	0	2	4	2	2	7	1	0	3	0	5	3	2	0	2	1	1	1
S27_Z01	1	2	3	5	1	7	1	2	4	5	2	2	1	1	1	0	1	1	0	1	4	1	4	1	2	1	1	1	1	7	0	1	1	5	1	1	2	3	4	2	2	5	0	2	3	4	1	7	0	0	3	0	5	6	0	0	4	1	1	1
S27_Z03	1	0	1	2	4	4	2	0	3	5	0	1	2	1	1	5	4	2	1	3	3	0	3	0	1	0	1	3	2	1	2	3	0	3	0	0	2	3	3	0	0	1	2	0	3	4	6	4	1	0	3	0	5	3	0	3	4	4	3	7
S27_Z05	0	1	2	3	6	2	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	0	1	0	0	2	0	0	3	0	2	3	0	3	0	5	0	1	1	3	6	2	0	2	3	4	4	1	2	1	0	4	2	2	0	3	4	5	3	0
S27_Z07	2	0	1	0	5	6	0	0	2	5	0	1	1	3	3	3	6	7	2	3	2	5	1	0	2	3	2	5	5	5	1	3	4	1	0	0	2	2	0	4	4	0	2	0	3	4	6	4	0	3	1	2	4	4	0	3	4	4	3	7
S27_Z09	0	1	2	1	0	5	0	0	3	5	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	0	2	3	3	0	0	1	2	0	3	4	6	4	2	2	2	1	6	5	0	1	4	3	0	6
S28_Z00	1	3	0	4	2	0	1	2	1	4	3	7	0	0	4	5	5	4	0	1	0	3	2	7	0	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	1	6	5	1	2	1	2	2	3
S28_Z01	0	3	0	4	2	0	1	2	1	4	3	7	0	0	4	1	5	4	0	1	0	3	2	7	0	2	0	2	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	3	4	2	2	0	2	1	0	1	6	5	1	2	1	2	2	3
S28_Z03	1	2	3	5	1	1	2	1	0	4	3	7	2	1	1	0	1	1	0	1	4	1	4	1	1	1	1	1	2	2	0	1	2	0	1	7	0	3	4	2	2	5	1	1	2	5	3	2	1	0	3	0	5	3	1	2	1	2	2	3
S28_Z05	1	3	0	4	4	0	2	1	0	0	1	3	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	1	7	0	3	3	0	0	2	1	3	4	2	2	0	1	2	2	3	1	1	1	2	1	2	5	3
S28_Z07	0	3	0	1	0	5	0	0	3	1	0	4	2	0	4	1	0	3	2	3	3	2	1	0	1	0	4	2	0	1	2	3	0	3	0	4	2	3	3	0	0	1	0	2	3	3	4	3	1	2	2	3	1	1	1	2	3	2	2	3
S28_Z09	0	1	2	3	6	2	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	2	3	0	3	0	4	0	3	3	0	6	2	0	2	1	3	1	3	2	1	0	4	2	2	2	0	2	1	4	5
S29_Z00	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	3	2	7	1	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	1	2	2	3	1	1	1	2	1	2	5	3
S29_Z01	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	3	2	7	1	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	1	2	2	3	1	1	1	2	1	2	5	3
S29_Z03	0	3	0	1	0	0	2	1	0	4	5	7	0	0	4	1	0	3	1	2	1	0	3	2	0	0	4	2	0	3	2	2	2	2	1	7	0	3	3	0	6	2	1	1	2	5	3	2	2	2	2	1	6	5	1	2	1	2	5	3
S29_Z05	0	1	2	3	6	2	2	1	3	0	1	1	0	2	0	4	3	0	1	3	1	0	3	0	0	2	0	0	3	0	2	3	0	3	0	5	0	1	1	3	6	2	0	2	3	3	4	7	2	1	0	4	2	2	0	3	4	5	3	0
S29_Z07	0	1	2	3	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	0	3	3	0	6	2	0	2	1	3	1	1	2	1	0	1	6	5	1	3	3	4	3	7
S29_Z09	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	0	3	3	0	6	2	0	2	1	3	1	3	2	1	0	1	6	5	0	3	3	3	6	5
S30_Z00	0	3	0	4	2	0	1	2	1	4	3	7	0	0	4	5	5	4	0	1	0	3	2	7	0	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	2	2	1	6	5	1	2	1	0	5	2
S30_Z01	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	1	4	1	1	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	1	2	2	3	1	1	1	2	1	2	2	3
S30_Z03	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	1	4	1	1	0	4	3	4	4	0	1	2	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	1	2	2	3	1	1	1	2	1	0	2	2
S30_Z05	0	1	2	3	6	2	2	1	3	1	0	1	0	2	0	4	3	0	1	3	3	0	3	0	0	2	0	0	3	0	2	3	0	3	0	5	0	1	3	0	6	2	0	2	1	3	1	7	2	1	0	4	2	2	1	2	1	2	2	3
S30_Z07	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	2	0	3	4	4	3	2	1	0	1	6	5	0	3	4	5	6	5
S30_Z09	0	1	2	3	6	2	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	2	3	0	3	0	4	0	3	3	0	6	2	0	2	0	1	0	3	2	1	0	4	2	2	2	0	2	5	6	5
S31_Z00	0	1	2	3	6	2	1	2	1	4	3	7	0	2	0	4	3	0	0	1	0	3	2	3	0	2	0	0	3	0	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	4	2	2	1	2	1	2	2	3
S31_Z01	0	1	2	3	6	2	1	2	1	4	3	7	0	2	0	4	3	0	0	1	0	3	2	3	0	2	0	0	3	0	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	4	2	2	2	0	2	0	4	4
S31_Z03	0	3	0	1	0	5	2	1	0	0	1	7	0	0	4	1	0	3	1	2	1	0	3	2	0	0	4	2	0	3	2	2	2	2	1	5	0	3	3	0	0	1	1	1	2	5	3	2	2	2	2	1	6	5	1	2	1	2	2	3
S31_Z05	0	1	2	1	0	5	0	0	3	5	0	4	0	2	0	1	0	3	1	3	3	0	3	0	0	2	0	2	0	3	2	3	0	3	0	5	2	3	3	0	0	1	0	2	1	3	1	0	2	2	2	1	6	5	1	2	1	2	2	3
S31_Z07	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	0	1	0	5	0	3	1	2	4	4	0	3	4	5	2	3
S31_Z09	0	1	2	3	6	2	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	2	3	0	3	0	4	0	3	3	0	6	2	2	0	0	1	0	5	2	1	0	4	2	2	2	3	2	1	3	4
S32_Z00	0	1	2	3	6	2	1	2	1	4	3	7	0	2	0	4	3	0	0	1	0	3	2	3	0	2	0	0	3	0	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	4	2	2	1	2	1	0	5	2
S32_Z01	1	3	0	4	2	0	1	2	1	4	3	7	2	0	4	5	5	4	0	1	0	3	2	3	1	0	4	3	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	2	2	1	6	5	1	2	3	2	2	3
S32_Z03	2	0	4	2	4	4	0	3	2	3	6	5	1	3	2	2	4	2	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	2	3	4	2	5	4	2	0	0	1	0	5	0	3	1	2	4	4	1	2	1	2	2	3
S32_Z05	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	4	2	0	0	1	0	5	0	3	1	2	4	4	1	2	1	2	2	3
S32_Z07	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	3	4	6	4	0	3	1	2	4	4	1	3	0	4	3	7
S32_Z09	0	1	2	1	0	5	0	3	2	3	6	5	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	1	3	0	3	0	4	2	3	3	0	0	1	2	0	0	1	0	3	2	2	2	1	6	5	2	0	2	1	4	4
S33_Z00	0	3	0	4	2	0	1	2	1	4	3	7	0	0	4	4	5	4	0	1	0	3	2	3	0	2	0	0	4	4	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	1	6	5	1	2	1	0	2	2
S33_Z01	1	3	0	4	4	4	1	2	4	4	5	3	2	0	4	5	4	2	1	2	1	1	3	2	1	0	4	3	2	1	2	2	2	2	1	1	2	3	4	2	5	5	1	1	0	1	0	5	1	0	3	0	5	3	1	2	1	2	2	3
S33_Z03	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	5	4	2	0	0	1	0	5	0	3	1	2	4	4	1	2	3	2	5	3
S33_Z05	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	0	1	0	5	0	3	1	2	4	4	1	2	3	2	5	3
S33_Z07	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	3	4	6	4	0	3	1	2	4	4	0	1	4	3	0	6
S33_Z09	0	1	2	3	6	2	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	1	3	0	3	0	4	0	3	3	0	6	2	2	0	0	1	0	5	2	1	0	4	2	2	2	0	3	5	6	5
S34_Z00	0	3	0	4	2	0	1	2	1	4	3	7	0	2	0	4	5	4	0	1	0	3	5	3	0	2	0	0	3	0	0	1	3	0	3	7	0	1	1	3	1	6	1	1	2	5	3	2	2	1	0	1	6	5	2	0	2	1	4	4
S34_Z01	1	0	4	2	4	4	2	1	0	5	5	1	1	1	1	0	4	2	1	2	1	0	3	2	2	1	1	1	2	2	2	2	2	2	1	5	2	3	4	2	5	4	0	2	0	1	0	5	0	3	1	0	5	3	1	2	1	2	2	3
S34_Z03	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	4	2	0	0	1	0	5	0	3	1	2	4	4	1	2	1	2	2	3
S34_Z05	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	0	1	0	5	0	3	1	2	4	4	1	2	1	0	2	2
S34_Z07	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	0	1	0	5	0	3	1	2	4	4	1	2	1	2	2	3
S34_Z09	2	0	4	2	3	3	0	3	2	3	6	5	1	3	2	2	2	5	2	0	2	5	6	5	2	3	3	4	6	6	1	0	4	1	6	3	1	0	2	1	3	3	2	0	3	4	6	4	0	3	1	2	4	4	0	1	4	5	0	6
